N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
150,75,12,10.517797519101169,10,2,0.4570304465243755,0,2.6666666666666665,"3,5",mobius_3x5,2,23.416095302187554,0.0,2.7570853033856224
152,76,4,4.209581942903863,4,0,-0.1021490608687756,2,1.0588235294117647,19,shell_other,2i,5.44490546646695,18.42422810246434,0.9866416118567469
154,77,8,5.342864127810231,5,3,1.1495469078440441,4,1.3333333333333333,"7,11",shell_other,3+4i,4.166441657410242,20.627302247025497,2.307108543861963
156,78,11,8.811210290224777,8,3,0.7373713426981819,6,2.1818181818181817,"3,13",cone_3,3+6i,-4.291874291729474,5.257070371770017,1.8521884808213769
158,79,5,4.122541041751904,4,1,0.43215975258803707,8,1.0129870129870129,79,shell_other,1+8i,-0.6172252607540542,21.872506081166648,1.5673769663838444
160,80,8,5.467732747314907,5,3,1.0829437501979509,10,1.3333333333333333,5,ring_5,3+10i,3.9249625238456467,3.5940703363088344,1.9626955865061704
162,81,10,8.263615840071902,8,2,0.6040331246877004,12,2.0,3,cone_3,2+12i,-10.191782023010877,3.04550790784575,1.7720231714928993
164,82,5,4.269450966897412,4,1,0.35356018721302057,14,1.0256410256410255,41,shell_other,1+14i,-5.777817252342836,17.228112969115728,1.5439030384569241
166,83,6,4.245293365921021,4,2,0.8516294367962328,16,1.0123456790123457,83,shell_other,2+16i,-5.761670186943314,14.775319195586658,2.056458946780327
168,84,13,10.138151764586134,10,3,0.8988085710286938,18,2.4,"3,7",cone_3,3+18i,-10.89735223531709,-3.5581346735799833,2.118037531903651
170,85,9,6.051330051857724,6,3,1.1986730557235443,20,1.422222222222222,"5,17",ring_5,3+20i,3.9521666735229224,-3.5469513668910784,2.1349074958330463
172,86,6,4.389878525765915,4,2,0.7684796841799085,22,1.024390243902439,43,shell_other,2+22i,-0.6158495669324244,10.140582771229813,2.0259520937886157
174,87,11,8.951247097564544,8,3,0.6847748617072118,24,2.074074074074074,"3,29",cone_3,3+24i,-4.332205476527329,-5.132943748282891,1.9534445043034232
176,88,7,4.829010647558484,4,3,0.9879355467263171,26,1.1111111111111112,11,shell_other,3+26i,3.9942860196277947,11.563895958794092,2.296499317181629
